APiCS Online -- Structure dataset (feature-value table): Lingala
Lexifier: Bantu | Region: Central and East Africa
Source: https://apics-online.info/contributions/60
License: CC BY 4.0 -- APiCS Online edited by Michaelis, Susanne Maria & Maurer, Philippe & Haspelmath, Martin & Huber, Magnus
Cite: Michaelis, Susanne Maria & Maurer, Philippe & Haspelmath, Martin & Huber, Magnus (eds.) 2013. Atlas of Pidgin and Creole Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology.
Format: one row per structural/lexical feature -- <no>. <feature name> -- <value assigned to Lingala>  [source citation]
108. Para-linguistic usages of clicks -- Both logical and affective meanings  [Own knowledge]
109. Pequenino -- A word derived from pequenino does not exist  [Own knowledge]
110. Savvy -- A savvy word does not exist  [Own knowledge]
111. 'Tears' -- Phrase/circumlocution  [Own knowledge]
111. 'Tears' -- Monomorphemic  [Own knowledge]
112. 'Hand' and 'arm' -- Identity  [Own knowledge]
113. 'Finger' and 'toe' -- Identity and differentiation  [Own knowledge]
114. 'Body hair' and 'feather' -- Identity  [Own knowledge]
115. 'Hear' and 'smell' -- Identity  [Own knowledge]
116. 'Green' and 'blue' -- Not applicable  [Own knowledge]
117. Female and male animals -- Postposed sex-denoting word  [Own knowledge]
118. Syllable onsets -- Only simple onsets  [Own knowledge, Meeuwis 1998: 9]
119. Syllable codas -- No syllable codas  [Own knowledge]
120. Tone -- Simple tone system, for lexical and grammatical distinctions  [Meeuwis 1995: 101; Meeuwis 1998: 25]
121. Vowel height distinctions -- Three vowel heights
122. Nasal vowels -- No nasal vowels exist
123. The schwa vowel -- [ə] does not exist
124. Labiodental fricatives -- Both [f] and [v] exist as major allophones
125. Palato-alveolar sibilants -- [ʃ] and [ʒ] exist in a limited way
126. The voiced sibilant [z] -- [z] exists as a major allophone
127. Interdental fricatives -- Neither [θ] nor [ð] exists
128. The palatal nasal -- [ɲ] does not exist
129. Prenasalized consonants -- Prenasalized segments exist
130. The segment [h] -- [h] does not exist
