APiCS Online -- Structure dataset (feature-value table): Michif
Lexifier: Other | Region: North America
Source: https://apics-online.info/contributions/75
License: CC BY 4.0 -- APiCS Online edited by Michaelis, Susanne Maria & Maurer, Philippe & Haspelmath, Martin & Huber, Magnus
Cite: Michaelis, Susanne Maria & Maurer, Philippe & Haspelmath, Martin & Huber, Magnus (eds.) 2013. Atlas of Pidgin and Creole Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology.
Format: one row per structural/lexical feature -- <no>. <feature name> -- <value assigned to Michif>  [source citation]
92. Subject relative clauses -- Relative particle and gap  [Own knowledge]
92. Subject relative clauses -- Verbal affix  [Own knowledge]
93. Object relative clauses -- Verbal affix  [Own knowledge]
94. Instrument relative clauses -- Impossible  [Own knowledge]
95. Complementizer with verbs of speaking -- No complementizer  [Own knowledge]
95. Complementizer with verbs of speaking -- Complementizer not synchronically related to ‘say’  [Own knowledge]
96. Complementizer with verbs of knowing -- Complementizer not synchronically related to ‘say’  [Own knowledge]
97. ‘Want’ complement subjects -- Desiderative verbal affix  [Own knowledge]
98. Complements of 'think' and 'want' -- Identical complementizer  [Own knowledge]
99. Verb doubling in temporal clauses -- Verb doubling is not possible in temporal clauses  [Own knowledge]
100. Negative morpheme types -- Negative particle  [Own knowledge, Bakker 1997: 92-94]
101. Position of standard negation -- Before the verb  [Own knowledge, Bakker 1997: 92f]
101. Position of standard negation -- Immediately after the verb  [Own knowledge, Bakker 1997: 92f]
102. Negation and indefinite pronouns -- Preclusion possible under other conditions  [Own knowledge]
103. Polar questions -- Only interrogative intonation  [Own knowledge]
103. Polar questions -- Question particle in other position  [Own knowledge]
103. Polar questions -- Final question particle  [Own knowledge]
104. Focusing of the noun phrase -- Bare cleft (without highlighter)  [Own knowledge]
105. Verb doubling and focus -- No verb doubling  [Own knowledge]
106. Focus particle ‘also’ -- After the focused element  [Own knowledge]
106. Focus particle ‘also’ -- Non-adjacent following  [Own knowledge]
107. Vocative markers -- No vocative marker  [Own knowledge]
108. Para-linguistic usages of clicks -- Clicks can express only affective meanings  [Own knowledge]
109. Pequenino -- A word derived from pequenino does not exist  [Own knowledge]
110. Savvy -- A savvy word does not exist  [Own knowledge]
111. 'Tears' -- Monomorphemic  [Own knowledge]
112. 'Hand' and 'arm' -- Differentiation  [Own knowledge, Fleury 2004: 20-21]
113. 'Finger' and 'toe' -- Differentiation  [Fleury 2007: 20-21]
114. 'Body hair' and 'feather' -- Differentiation  [Fleury 2004: 20-21]
115. 'Hear' and 'smell' -- Differentiation  [Own knowledge]
116. 'Green' and 'blue' -- Differentiation  [Own knowledge]
117. Female and male animals -- Preposed sex-denoting word  [Own knowledge]
118. Syllable onsets -- Onsets at most moderately complex  [Rosen 2007: 85f]
119. Syllable codas -- Codas at most moderately complex  [Own knowledge]
120. Tone -- No tone distinctions  [Own knowledge]
121. Vowel height distinctions -- Five vowel heights
122. Nasal vowels -- Present in a prominent way
123. The schwa vowel -- [ə] exists only in loanwords
124. Labiodental fricatives -- Both [f] and [v] exist as major allophones
125. Palato-alveolar sibilants -- Both [ʃ] and [ʒ] exist as major allophones
126. The voiced sibilant [z] -- [z] exists as a major allophone
127. Interdental fricatives -- Neither [θ] nor [ð] exists
128. The palatal nasal -- [ɲ] does not exist  [Rhodes 2009]
129. Prenasalized consonants -- No prenasalized segments
130. The segment [h] -- [h] exists as a major allophone
