APiCS Online -- Structure dataset (feature-value table): Afrikaans
Lexifier: Dutch | Region: Southern Africa
Source: https://apics-online.info/contributions/29
License: CC BY 4.0 -- APiCS Online edited by Michaelis, Susanne Maria & Maurer, Philippe & Haspelmath, Martin & Huber, Magnus
Cite: Michaelis, Susanne Maria & Maurer, Philippe & Haspelmath, Martin & Huber, Magnus (eds.) 2013. Atlas of Pidgin and Creole Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology.
Format: one row per structural/lexical feature -- <no>. <feature name> -- <value assigned to Afrikaans>  [source citation]
96. Complementizer with verbs of knowing -- No complementizer  [Own knowledge]
97. ‘Want’ complement subjects -- The complement subject is left implicit  [Own knowledge]
98. Complements of 'think' and 'want' -- Identical complementizer  [Own knowledge]
99. Verb doubling in temporal clauses -- Verb doubling is not possible in temporal clauses  [Own knowledge]
100. Negative morpheme types -- Bipartite negative marker  [Own knowledge, Biberauer 2008; den Besten 1986]
100. Negative morpheme types -- Negative particle  [Own knowledge, Biberauer 2008; den Besten 1986]
100. Negative morpheme types -- Negative affix  [Own knowledge, Biberauer 2008; den Besten 1986]
101. Position of standard negation -- Bipartite, other possibilities  [Own knowledge]
102. Negation and indefinite pronouns -- Co-occurrence with predicate negation  [Own knowledge]
103. Polar questions -- Interrogative word order  [Own knowledge]
104. Focusing of the noun phrase -- Cleft with copula after focus  [Own knowledge]
104. Focusing of the noun phrase -- Cleft with copula before focus  [Own knowledge]
105. Verb doubling and focus -- No verb doubling  [Own knowledge]
106. Focus particle ‘also’ -- Before the focused element  [Own knowledge]
106. Focus particle ‘also’ -- After the focused element  [Own knowledge]
106. Focus particle ‘also’ -- Non-adjacent following  [Own knowledge]
107. Vocative markers -- Optional vocative marker preceding noun  [Own knowledge]
108. Para-linguistic usages of clicks -- Clicks can express only affective meanings  [Own knowledge]
109. Pequenino -- A word derived from pequenino exists  [Own knowledge, Franken 1953: 33]
110. Savvy -- A savvy word does not exist  [Own knowledge]
111. 'Tears' -- Monomorphemic  [Own knowledge]
112. 'Hand' and 'arm' -- Differentiation  [Own knowledge]
113. 'Finger' and 'toe' -- Differentiation  [Own knowledge]
114. 'Body hair' and 'feather' -- Differentiation  [Own knowledge]
115. 'Hear' and 'smell' -- Differentiation  [Own knowledge]
116. 'Green' and 'blue' -- Differentiation  [Own knowledge]
117. Female and male animals -- Postposed sex-denoting word  [Own knowledge, Donaldson 1993: 96-97; Ponelis 1993: 539]
117. Female and male animals -- Preposed sex-denoting word  [Own knowledge, Donaldson 1993: 96-97; Ponelis 1993: 539]
117. Female and male animals -- Sex-denoting suffix  [Own knowledge, Donaldson 1993: 96-97; Ponelis 1993: 539]
118. Syllable onsets -- Onsets may be complex  [Own knowledge]
119. Syllable codas -- Codas at most moderately complex  [Own knowledge]
120. Tone -- No tone distinctions  [Own knowledge]
121. Vowel height distinctions -- Four vowel heights
122. Nasal vowels -- Present only as minor allophones
123. The schwa vowel -- [ə] exists as a major allophone
124. Labiodental fricatives -- Both [f] and [v] exist as major allophones
125. Palato-alveolar sibilants -- [ʃ] and [ʒ] exist in a limited way
126. The voiced sibilant [z] -- [z] exists only in loanwords
127. Interdental fricatives -- Neither [θ] nor [ð] exists
128. The palatal nasal -- [ɲ] exists as a minor allophone
129. Prenasalized consonants -- No prenasalized segments
130. The segment [h] -- [h] exists as a major allophone
