APiCS Online -- Structure dataset (feature-value table): Jamaican
Lexifier: English | Region: Caribbean
Source: https://apics-online.info/contributions/8
License: CC BY 4.0 -- APiCS Online edited by Michaelis, Susanne Maria & Maurer, Philippe & Haspelmath, Martin & Huber, Magnus
Cite: Michaelis, Susanne Maria & Maurer, Philippe & Haspelmath, Martin & Huber, Magnus (eds.) 2013. Atlas of Pidgin and Creole Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology.
Format: one row per structural/lexical feature -- <no>. <feature name> -- <value assigned to Jamaican>  [source citation]
82. Transitive motion verbs: ‘push’ -- Serial verb construction plus preposition  [more]
83. Transitive motion verbs: ‘pull’ -- Special motion-from adposition  [more]
84. Directional serial verb constructions with 'come' and 'go' -- ‘Come’ and ‘go’ directionals exist  [more]
85. ‘Take’ serial verb constructions -- Instrument of the second verb, no resumptive pronoun  [more]
86. 'Give' serial verb constructions -- ‘Give’ in second position, recipient only  [more]
87. Reflexive constructions -- Compound reflexive pronoun with emphasizer  [more]
88. Intensifiers and reflexive pronouns -- Intensifiers and reflexives are identical  [more]
89. Reciprocal constructions -- Special reciprocal construction based on 'other'  [more]
90. Passive constructions -- Passive without verbal coding  [more]
90. Passive constructions -- Typical passive construction  [more]
91. Applicative constructions -- No applicative construction exists  [more]
92. Subject relative clauses -- Relative particle and gap  [more]
93. Object relative clauses -- Relative particle and gap  [more]
94. Instrument relative clauses -- Relative particle and gap with preposition stranding  [more]
95. Complementizer with verbs of speaking -- No complementizer  [more]
95. Complementizer with verbs of speaking -- Complementizer identical to bare ‘say’  [more]
96. Complementizer with verbs of knowing -- Complementizer identical to bare ‘say’  [more]
96. Complementizer with verbs of knowing -- No complementizer  [more]
97. ‘Want’ complement subjects -- The complement subject is left implicit  [more]
98. Complements of 'think' and 'want' -- Only 'think' complement has a complementizer  [more]
99. Verb doubling in temporal clauses -- Verb doubling is not possible in temporal clauses  [more]
100. Negative morpheme types -- Negative particle  [more]
101. Position of standard negation -- Before the verb  [more]
102. Negation and indefinite pronouns -- Co-occurrence with predicate negation  [more]
103. Polar questions -- Only interrogative intonation  [more]
103. Polar questions -- Initial question particle  [more]
104. Focusing of the noun phrase -- Cleft with copula before focus  [more]
105. Verb doubling and focus -- Verb fronted with a copy in the background clause  [more]
106. Focus particle ‘also’ -- Non-adjacent following  [more]
107. Vocative markers -- Optional vocative marker following noun  [more]
108. Para-linguistic usages of clicks -- Clicks can express only affective meanings  [more]
109. Pequenino -- A word derived from pequenino exists  [more]
110. Savvy -- A savvy word exists  [more]
111. 'Tears' -- Bimorphemic  [more]
112. 'Hand' and 'arm' -- Identity  [more]
113. 'Finger' and 'toe' -- Differentiation  [more]
114. 'Body hair' and 'feather' -- Differentiation  [more]
115. 'Hear' and 'smell' -- Differentiation  [more]
116. 'Green' and 'blue' -- Differentiation  [more]
117. Female and male animals -- Preposed sex-denoting word  [more]
118. Syllable onsets -- Onsets at most moderately complex  [more]
119. Syllable codas -- Codas may be complex  [more]
120. Tone -- No tone distinctions  [more]
121. Vowel height distinctions -- Four vowel heights  [more]
122. Nasal vowels -- Present in a prominent way  [more]
123. The schwa vowel -- [ə] does not exist  [more]
124. Labiodental fricatives -- Both [f] and [v] exist as major allophones  [more]
125. Palato-alveolar sibilants -- [ʃ] and [ʒ] exist in a limited way  [more]
126. The voiced sibilant [z] -- [z] exists as a major allophone  [more]
127. Interdental fricatives -- Neither [θ] nor [ð] exists  [more]
128. The palatal nasal -- [ɲ] exists only in loanwords  [more]
129. Prenasalized consonants -- No prenasalized segments  [more]
130. The segment [h] -- [h] exists as a minor allophone  [more]
13. Gender distinctions in personal pronouns -- In 3rd person singular only  [more]
