APiCS Online -- Structure dataset (feature-value table): Zamboanga Chabacano
Lexifier: Spanish | Region: Southeast Asia
Source: https://apics-online.info/contributions/46
License: CC BY 4.0 -- APiCS Online edited by Michaelis, Susanne Maria & Maurer, Philippe & Haspelmath, Martin & Huber, Magnus
Cite: Michaelis, Susanne Maria & Maurer, Philippe & Haspelmath, Martin & Huber, Magnus (eds.) 2013. Atlas of Pidgin and Creole Language Structures Online. Leipzig: Max Planck Institute for Evolutionary Anthropology.
Format: one row per structural/lexical feature -- <no>. <feature name> -- <value assigned to Zamboanga Chabacano>  [source citation]
96. Complementizer with verbs of knowing -- Complementizer not synchronically related to ‘say’  [Own knowledge, Forman 1972: 202]
96. Complementizer with verbs of knowing -- No complementizer  [Own knowledge, Forman 1972: 202]
97. ‘Want’ complement subjects -- The complement subject is left implicit  [Own knowledge]
98. Complements of 'think' and 'want' -- Identical complementizer  [Own knowledge, Forman 1972: 202]
99. Verb doubling in temporal clauses -- Verb doubling is not possible in temporal clauses  [Own knowledge]
100. Negative morpheme types -- Negative affix  [Own knowledge, Forman 1972: 225-230]
100. Negative morpheme types -- Negative particle  [Own knowledge, Forman 1972: 225-230]
101. Position of standard negation -- Before the verb  [Own knowledge]
102. Negation and indefinite pronouns -- Negative existential construction  [Own knowledge, Forman 1972: 225-229]
103. Polar questions -- Only interrogative intonation  [Own knowledge]
103. Polar questions -- Question particle in other position  [Own knowledge]
104. Focusing of the noun phrase -- Cleft with copula before focus  [Own knowledge, Aoto 2002]
105. Verb doubling and focus -- No verb doubling  [Own knowledge]
106. Focus particle ‘also’ -- After the focused element  [Own knowledge]
107. Vocative markers -- Optional vocative marker preceding noun  [Own knowledge]
108. Para-linguistic usages of clicks -- Clicks can express only affective meanings  [Own knowledge]
109. Pequenino -- A word derived from pequenino does not exist  [2005]
110. Savvy -- A savvy word exists  [Own knowledge]
111. 'Tears' -- Monomorphemic  [Own knowledge]
112. 'Hand' and 'arm' -- Differentiation  [Own knowledge]
113. 'Finger' and 'toe' -- Identity and differentiation  [Own knowledge]
114. 'Body hair' and 'feather' -- Overlap  [Own knowledge]
115. 'Hear' and 'smell' -- Differentiation  [Own knowledge]
116. 'Green' and 'blue' -- Differentiation  [Own knowledge]
117. Female and male animals -- Postposed sex-denoting word  [Own knowledge]
118. Syllable onsets -- Onsets may be complex  [Forman 1972: 80-84]
119. Syllable codas -- Only simple codas  [Own knowledge, Forman 1972: 80]
120. Tone -- No tone distinctions  [Own knowledge]
121. Vowel height distinctions -- Three vowel heights
122. Nasal vowels -- No nasal vowels exist
123. The schwa vowel -- [ə] does not exist
124. Labiodental fricatives -- [f] and [v] exist in a limited way
125. Palato-alveolar sibilants -- [ʃ] and [ʒ] exist in a limited way
126. The voiced sibilant [z] -- [z] does not exist
127. Interdental fricatives -- Neither [θ] nor [ð] exists
128. The palatal nasal -- [ɲ] exists as a major allophone
129. Prenasalized consonants -- No prenasalized segments
130. The segment [h] -- [h] exists as a major allophone
